"","World","Job","mean","median","max","sd"
"1","reboot","Evan",214.867068273092,210,275,11.1319381983006
"2","reboot","Kanna",223.199977294659,222,275,13.4838317753372
"3","reboot","Luminous",218.609223300971,211,275,13.7137197666078
"4","reboot","Thief",219.166423052829,215,275,13.2234693705706
"5","reboot","Dual Blade",220.19542053956,216,275,13.4378180550442
"6","reboot","Pirate",217.293164885002,212,275,12.3027230621398
"7","reboot","Magician",218.86073561773,213,275,13.7246656931788
"8","reboot","Xenon",216.479882237488,212,275,12.2085808974805
"9","reboot","Hayato",217.601657106437,212,275,12.8935505277418
"10","reboot","Wind Archer",217.367599219258,212,275,12.5121114877123
"11","reboot","Mercedes",213.628643852978,210,275,9.50149202917889
"12","reboot","Bowman",217.660054719562,212,275,12.8863841358065
"13","reboot","Wild Hunter",217.929292929293,212,275,13.3241097796692
"14","reboot","Angelic Buster",216.876258992806,211,275,12.308846958402
"15","reboot","Kinesis",216.43413729128,212,275,11.7539027545668
"16","reboot","Battle Mage",216.580060422961,211,275,12.2538244237027
"17","reboot","Night Walker",217.648905803996,213,275,12.0243184636753
"18","reboot","Phantom",215.281557743957,210,275,11.0464536395725
"19","reboot","Aran",215.641816920943,211,275,11.0871582004258
"20","reboot","Thunder Breaker",217.272316384181,213,270,11.7624186684313
"21","reboot","Shade",218.061846689895,213,275,13.1868937366278
"22","reboot","Warrior",217.653040049803,213,275,12.4206897232469
"23","reboot","Demon Slayer",215.047652916074,210,275,10.733696604593
"24","reboot","Kaiser",216.680785123967,211,275,12.5451145582466
"25","reboot","Ark",216.14186746988,210,275,11.2071376292977
"26","reboot","Cadena",217.300693909021,212,275,12.4215665628833
"27","reboot","Demon Avenger",213.316989737742,210,260,9.15306324420236
"28","reboot","Mihile",213.145367412141,210,275,9.24335623595637
"29","reboot","Dawn Warrior",216.557809330629,212,275,11.4071176205986
"30","reboot","Pathfinder",217.191594827586,214,275,10.6863681157208
"31","reboot","Mechanic",222.121568627451,216,275,16.1724504949014
"32","reboot","Blaster",217.292401628223,212,271,12.0793645863825
"33","reboot","Beast Tamer",211.617879746835,210,270,7.26287514952771
"34","reboot","Blaze Wizard",213.312596006144,210,268,9.17377597200579
"35","reboot","Illium",216.969645868465,211,268,12.8262461610495
"36","reboot","Jett",217.044052863436,211,261,12.4934601425496
"37","reboot","Hoyoung",216.3876478318,212,258,10.2951600719655
"38","aurora","Evan",213.705653021442,210,263,9.53187022636081
"39","aurora","Kanna",214.517107811491,210,275,10.6595420926359
"40","aurora","Luminous",212.908150064683,210,260,9.65348326718844
"41","aurora","Thief",215.377182044888,211,275,11.8377154242132
"42","aurora","Dual Blade",215.435820895522,211,269,11.3295927446982
"43","aurora","Pirate",213.926892950392,210,272,10.2430531858874
"44","aurora","Magician",213.814306358382,210,275,10.2335446006431
"45","aurora","Xenon",213.991830065359,210,275,11.1286892152801
"46","aurora","Hayato",214.323717948718,211,257,10.3864716127893
"47","aurora","Wind Archer",214.040983606557,210,275,11.1466421316327
"48","aurora","Mercedes",212.858369098712,210,274,8.64460500064371
"49","aurora","Bowman",214.920508744038,211,275,11.5505001296027
"50","aurora","Wild Hunter",214.776223776224,210,275,12.140071146599
"51","aurora","Angelic Buster",213.594458438287,210,260,9.47214254353581
"52","aurora","Kinesis",214.231884057971,210,275,10.7823356249157
"53","aurora","Battle Mage",214.262626262626,210,260,11.0828445391715
"54","aurora","Night Walker",213.779104477612,210,264,9.99455746075619
"55","aurora","Phantom",213.357231149567,210,275,10.2211777937914
"56","aurora","Aran",213.673252279635,210,272,10.1789729576233
"57","aurora","Thunder Breaker",213.294573643411,210,250,9.80386013005145
"58","aurora","Shade",214.910165484634,210,257,11.2776869717272
"59","aurora","Warrior",215.033333333333,211,275,11.4736026658549
"60","aurora","Demon Slayer",212.904564315353,210,275,9.03643095482552
"61","aurora","Kaiser",214.143442622951,210,265,10.624055364834
"62","aurora","Ark",213.403669724771,210,250,8.91736703169855
"63","aurora","Cadena",215.862433862434,211,257,11.6314008414364
"64","aurora","Zero",213.498201438849,210,266,10.8691644342188
"65","aurora","Demon Avenger",212.110169491525,210,255,8.02660064625479
"66","aurora","Mihile",211.891089108911,210,240,6.28315365099248
"67","aurora","Dawn Warrior",214.954545454545,211,251,10.022459780221
"68","aurora","Pathfinder",214.829787234043,211,275,9.84220528262266
"69","aurora","Mechanic",213.473684210526,210,251,10.8253466410649
"70","aurora","Blaster",215.025316455696,211,261,10.8876870474243
"71","aurora","Beast Tamer",210.853846153846,210,250,6.20155657356596
"72","aurora","Blaze Wizard",212.396751740139,210,258,7.83762588629483
"73","aurora","Illium",213.546391752577,210,265,10.0166742428112
"74","aurora","Jett",211.873015873016,210,240,7.73657435130642
"75","aurora","Hoyoung",214.918699186992,212,250,10.3959272415715
"76","scania","Evan",212.378787878788,210,262,8.07508740755068
"77","scania","Kanna",214.635623409669,211,275,10.3114707438308
"78","scania","Luminous",214.348039215686,210,275,11.3381465285448
"79","scania","Thief",216.59102244389,211,275,12.6782429190708
"80","scania","Dual Blade",217.915309446254,213,275,13.2370769253501
"81","scania","Pirate",215.149802890933,210,268,11.3239919076381
"82","scania","Magician",215.45785569791,211,275,11.9138301781972
"83","scania","Xenon",214.332792207792,210,275,11.8436135991178
"84","scania","Hayato",214.608955223881,210,275,10.8470273990708
"85","scania","Wind Archer",215.590792838875,211,262,12.2554568541172
"86","scania","Mercedes",213.121890547264,210,275,9.43774612728577
"87","scania","Bowman",214.990275526742,211,274,10.9523719228142
"88","scania","Wild Hunter",214.4375,210,275,10.9573035004056
"89","scania","Angelic Buster",213.5622406639,210,275,10.0376249334046
"90","scania","Kinesis",215.678445229682,211,265,11.2618319995223
"91","scania","Battle Mage",214.438914027149,211,257,10.302785444054
"92","scania","Night Walker",215.578796561605,211,256,11.6428019170047
"93","scania","Phantom",213.701149425287,210,275,10.1842406819518
"94","scania","Aran",213.507649513213,210,263,9.35866183977736
"95","scania","Thunder Breaker",215.015789473684,210,275,12.3157215805929
"96","scania","Shade",216.187050359712,211,275,12.7195535865914
"97","scania","Warrior",217.061118335501,212,275,12.3462899285961
"98","scania","Demon Slayer",214.116493656286,210,275,10.9335191411155
"99","scania","Kaiser",214.989898989899,210,275,11.7864731957713
"100","scania","Ark",214.937129300119,210,261,9.56237603604666
"101","scania","Cadena",215.122171945701,211,260,10.7279798482681
"102","scania","Zero",214.440881763527,210,275,11.6551009233805
"103","scania","Demon Avenger",211.777221526909,210,272,8.04952912209512
"104","scania","Mihile",212.010869565217,210,245,6.32541457654891
"105","scania","Dawn Warrior",215.287937743191,211,266,10.9185000341672
"106","scania","Pathfinder",215.863218390805,212,261,10.6146392922949
"107","scania","Mechanic",213.226666666667,210,250,9.58683406487185
"108","scania","Blaster",213.682926829268,210,256,9.35441979340576
"109","scania","Beast Tamer",210.817551963048,210,261,6.27136839819152
"110","scania","Blaze Wizard",211.233411397346,209,255,6.90817054699734
"111","scania","Illium",215.827586206897,211,250,11.6038043702085
"112","scania","Jett",212.102040816327,210,238,7.39438102536644
"113","scania","Hoyoung",214.144736842105,211,258,8.56947292168281
"114","bera","Evan",214.121483375959,210,275,10.3916554649653
"115","bera","Kanna",215.244904667982,211,275,10.1051776626804
"116","bera","Luminous",213.744548286604,210,260,10.0557261683001
"117","bera","Thief",217.496203492787,213,275,12.3105539564377
"118","bera","Dual Blade",218.383928571429,214,275,12.2908736286306
"119","bera","Pirate",215.247207743857,211,275,11.0041289848915
"120","bera","Magician",216.75641025641,212,275,12.2736575744526
"121","bera","Xenon",215.69241011984,211,275,12.2751753137614
"122","bera","Hayato",216.430379746835,211,275,12.3399587781072
"123","bera","Wind Archer",217.148148148148,212,270,12.4438331903132
"124","bera","Mercedes",213.723205964585,210,275,9.97378991329747
"125","bera","Bowman",216.691011235955,212,275,12.3669989798719
"126","bera","Wild Hunter",216.043879907621,211,275,12.1866432540039
"127","bera","Angelic Buster",214.601156069364,210,275,9.75799194331325
"128","bera","Kinesis",215.378082191781,211,260,11.1667954439817
"129","bera","Battle Mage",215.64161849711,211,275,11.969231168466
"130","bera","Night Walker",215.883458646617,211,275,11.7696643511199
"131","bera","Phantom",214.45023255814,210,275,10.678913220092
"132","bera","Aran",213.811753902663,210,275,9.86789625121163
"133","bera","Thunder Breaker",216.213815789474,211,275,11.8949058588833
"134","bera","Shade",216.495114006515,211,275,12.466299454585
"135","bera","Warrior",217.286669851887,212,275,12.0299975223043
"136","bera","Demon Slayer",214.141132075472,210,275,10.3793823162695
"137","bera","Kaiser",216.492537313433,211,275,12.5317348931321
"138","bera","Ark",213.45347985348,210,262,8.84429898928941
"139","bera","Cadena",214.496583143508,211,274,10.3843648799788
"140","bera","Zero",216.552511415525,211,275,12.4289712672629
"141","bera","Demon Avenger",212.451413427562,210,275,8.39425974019023
"142","bera","Mihile",212.4,210,250,8.41140165800856
"143","bera","Dawn Warrior",214.404255319149,211,267,10.1870971662193
"144","bera","Pathfinder",215.543316831683,212,274,9.99872957322596
"145","bera","Mechanic",214.990476190476,210,256,11.2262529179934
"146","bera","Blaster",217.219072164948,214,256,10.5041371037568
"147","bera","Beast Tamer",211.060763888889,210,250,5.86112813949949
"148","bera","Blaze Wizard",212.633037694013,210,270,8.31934319026045
"149","bera","Illium",219.32905982906,216,260,12.5769157011703
"150","bera","Jett",213.833333333333,210,259,11.7703451793491
"151","bera","Hoyoung",213.452961672474,211,252,7.44140631272835
"152","elysium","Evan",213.415343915344,210,275,9.72810620891407
"153","elysium","Kanna",214.426940639269,210,275,10.9332770507671
"154","elysium","Luminous",211.715923566879,210,275,8.55218456960083
"155","elysium","Thief",214.18144499179,211,275,10.225754966345
"156","elysium","Dual Blade",214.777911164466,211,257,10.9372067853788
"157","elysium","Pirate",213.828711256117,210,275,9.58237545783174
"158","elysium","Magician",212.773684210526,210,267,9.65177773552314
"159","elysium","Xenon",212.616666666667,210,272,9.44760475578445
"160","elysium","Hayato",213.841201716738,210,250,9.62958902324231
"161","elysium","Wind Archer",214.029032258065,211,250,9.54240047511292
"162","elysium","Mercedes",213.011516314779,210,275,9.52485926628421
"163","elysium","Bowman",213.964285714286,210,265,10.6662668314786
"164","elysium","Wild Hunter",213.148148148148,210,259,9.60687311352054
"165","elysium","Angelic Buster",213.234920634921,210,261,9.19336091676545
"166","elysium","Kinesis",214.15234375,210,255,9.80137217159304
"167","elysium","Battle Mage",211.630281690141,209,253,9.08152700720319
"168","elysium","Night Walker",212.206896551724,210,251,8.2771444993334
"169","elysium","Phantom",212.460244648318,210,262,9.3422639878057
"170","elysium","Aran",213.589251439539,210,274,9.52528010975785
"171","elysium","Thunder Breaker",214.026785714286,211,250,9.45492847451384
"172","elysium","Shade",213.873315363881,210,275,10.1798749291556
"173","elysium","Warrior",214.420454545455,210,275,10.2566736190073
"174","elysium","Demon Slayer",212.853773584906,210,264,8.79346580454732
"175","elysium","Kaiser",213.912114014252,210,275,10.9891448840302
"176","elysium","Ark",213.79754601227,210,250,8.33170737637667
"177","elysium","Cadena",213.671328671329,210,250,8.94960556513504
"178","elysium","Zero",213.919491525424,210,257,11.1413368016664
"179","elysium","Demon Avenger",211.866344605475,210,261,8.01368855129666
"180","elysium","Mihile",211.031746031746,210,237,6.2474982192055
"181","elysium","Dawn Warrior",214.860927152318,211,250,10.514776735686
"182","elysium","Pathfinder",214.659793814433,211,257,9.67732140337274
"183","elysium","Mechanic",213.428571428571,210,252,10.314716415937
"184","elysium","Blaster",214.535885167464,212,251,9.58062469389192
"185","elysium","Beast Tamer",210.916666666667,210,253,5.93695096489618
"186","elysium","Blaze Wizard",212,210,242,7.71024601227774
"187","elysium","Illium",216.033333333333,210,250,13.170288424144
"188","elysium","Jett",213.236363636364,211,253,7.94882622679841
"189","elysium","Hoyoung",211.717171717172,210,256,7.8818318652357
